_id,Date,Temp Max,Temp Min
134,14-05-1951,39.36999893,28.81999969
135,15-05-1951,38.84999847,27.82999992
136,16-05-1951,37.93999863,28.45999908
137,17-05-1951,39.18999863,28.97999954
138,18-05-1951,38.45999908,26.22999954
139,19-05-1951,37.06999969,27.44000053
140,20-05-1951,37.93000031,27.71999931
141,21-05-1951,37.97999954,28.43000031
142,22-05-1951,38.68999863,25.57999992
143,23-05-1951,36.47999954,28.07999992
144,24-05-1951,35.45000076,26.06999969
145,25-05-1951,35.45999908,26.04000092
146,26-05-1951,36.77999878,27.60000038
147,27-05-1951,38.24000168,26.98999977
148,28-05-1951,36.68999863,27.64999962
149,29-05-1951,38,27.03000069
150,30-05-1951,35.61999893,26.95000076
151,31-05-1951,36.99000168,26.70999908
152,01-06-1951,36.75999832,25.89999962
153,02-06-1951,34.56000137,25.85000038
154,03-06-1951,35.79999924,26.85000038
155,04-06-1951,36.04999924,26.45000076
156,05-06-1951,35.02999878,26.78000069
157,06-06-1951,36.52000046,25.90999985
158,07-06-1951,36.11000061,27.29000092
159,08-06-1951,37.15999985,27.76000023
160,09-06-1951,37.45999908,26.90999985
161,10-06-1951,35.36999893,26.52000046
162,11-06-1951,34.88999939,26.23999977
163,12-06-1951,34.77000046,26.85000038
164,13-06-1951,35.88000107,26.87999916
165,14-06-1951,36.84000015,26.37999916
166,15-06-1951,37.43000031,26.65999985
167,16-06-1951,37.41999817,27.70999908
168,17-06-1951,37.77000046,27.05999947
169,18-06-1951,38.04999924,26.60000038
170,19-06-1951,37.72000122,26.76000023
171,20-06-1951,36.93000031,26.88999939
172,21-06-1951,36.27999878,26.31999969
173,22-06-1951,36.68000031,26.79000092
174,23-06-1951,35.09000015,26.59000015
175,24-06-1951,36.04000092,26.82999992
176,25-06-1951,34.70000076,25.80999947
177,26-06-1951,36.09000015,26.37999916
178,27-06-1951,35.59000015,26.35000038
179,28-06-1951,35.31999969,26.53000069
180,29-06-1951,36.70000076,26.92000008
181,30-06-1951,36.88000107,27.29999924
182,01-07-1951,39.06999969,28.05999947
183,02-07-1951,38.79000092,27.64999962
184,03-07-1951,39.20999908,27.30999947
185,04-07-1951,36.56999969,26.62000084
186,05-07-1951,36.90999985,25.53000069
187,06-07-1951,34.77000046,24.64999962
188,07-07-1951,35.24000168,24.98999977
189,08-07-1951,33.70000076,24.71999931
190,09-07-1951,33.50999832,24.88999939
191,10-07-1951,34.81000137,26.10000038
192,11-07-1951,36.02999878,26.55999947
193,12-07-1951,37.09999847,25.20999908
194,13-07-1951,35.74000168,25.63999939
195,14-07-1951,33.86999893,26.14999962
196,15-07-1951,35.88999939,25.73999977
197,16-07-1951,35.06000137,25.20000076
198,17-07-1951,33.99000168,25.29000092
199,18-07-1951,34.77000046,24.64999962
200,19-07-1951,32.06999969,25.54000092
201,20-07-1951,32.16999817,24.69000053
202,21-07-1951,33.02000046,24.95999908
203,22-07-1951,32.99000168,25
204,23-07-1951,34.13000107,25.23999977
205,24-07-1951,31.45999908,25.52000046
206,25-07-1951,30.28000069,24.37000084
207,26-07-1951,32.34999847,25.22999954
208,27-07-1951,34.43999863,25.40999985
209,28-07-1951,35.79999924,26.56999969
210,29-07-1951,36.40000153,26.98999977
211,30-07-1951,35.43999863,26.39999962
212,31-07-1951,33.31999969,26.35000038
213,01-08-1951,34.93000031,25.68000031
214,02-08-1951,35.75999832,25.70000076
215,03-08-1951,36.43000031,25.75
216,04-08-1951,35.40000153,24.98999977
217,05-08-1951,33.90000153,25.73999977
218,06-08-1951,34.65999985,26.02000046
219,07-08-1951,35.66999817,26.29999924
220,08-08-1951,34.18000031,25.97999954
221,09-08-1951,36.52999878,25.20999908
222,10-08-1951,35.77999878,26.23999977
223,11-08-1951,36.27999878,25.77000046
224,12-08-1951,35.61999893,25.47999954
225,13-08-1951,35.75999832,25.65999985
226,14-08-1951,34.72999954,25.65999985
227,15-08-1951,36.11999893,25.47999954
228,16-08-1951,36.50999832,26.60000038
229,17-08-1951,35.25999832,26.19000053
230,18-08-1951,34.86000061,25.95000076
231,19-08-1951,36.49000168,25.90999985
232,20-08-1951,36.45000076,26.44000053
233,21-08-1951,36.79999924,25.87000084
234,22-08-1951,36.13999939,25.45999908
235,23-08-1951,35.34000015,25.43000031
236,24-08-1951,35.22000122,24.92000008
237,25-08-1951,34.56999969,25
